id,Date,Model
1,2/2/2019,Flash
2,1/23/2019,Flash
3,1/30/2019,Flash
4,2/4/2019,Flare
5,1/20/2019,Flint
6,2/24/2019,Flint
7,1/14/2019,Flint
8,2/5/2019,Flint
9,2/25/2019,Flint
10,1/30/2019,Flint
11,1/28/2019,Flare
12,1/24/2019,Flint
13,3/14/2019,Flare
14,3/11/2019,Flint
15,3/16/2019,Flash
16,3/30/2019,Flash
17,3/8/2019,Flash
18,3/15/2019,Flint
19,2/9/2019,Flash
20,3/13/2019,Flare
21,1/20/2019,Flint
22,3/3/2019,Flare
23,3/3/2019,Flint
24,1/17/2019,Flare
25,1/8/2019,Flint
26,2/10/2019,Flash
27,1/28/2019,Flint
28,2/14/2019,Flint
29,3/7/2019,Flare
30,3/4/2019,Flint
31,1/2/2019,Flint
32,1/25/2019,Flash
33,2/19/2019,Flash
34,3/6/2019,Flash
35,1/15/2019,Flint
36,3/12/2019,Flare
37,2/19/2019,Flash
38,3/13/2019,Flash
39,3/4/2019,Flare
40,3/27/2019,Flint
41,1/9/2019,Flash
42,2/8/2019,Flint
43,2/25/2019,Flare
44,1/19/2019,Flint
45,2/27/2019,Flint
46,1/15/2019,Flare
47,1/16/2019,Flint
48,1/28/2019,Flare
49,3/17/2019,Flash
50,3/29/2019,Flare
51,1/5/2019,Flint
52,2/10/2019,Flash
53,2/26/2019,Flint
54,3/21/2019,Flash
55,1/31/2019,Flint
56,3/15/2019,Flare
57,1/30/2019,Flash
58,3/27/2019,Flint
59,1/27/2019,Flare
60,3/7/2019,Flare
61,1/2/2019,Flare
62,1/20/2019,Flint
63,1/20/2019,Flint
64,2/3/2019,Flint
65,3/3/2019,Flare
66,3/7/2019,Flint
67,1/18/2019,Flare
68,3/30/2019,Flash
69,3/5/2019,Flash
70,3/29/2019,Flare
71,1/28/2019,Flare
72,2/18/2019,Flint
73,1/12/2019,Flint
74,3/16/2019,Flare
75,2/23/2019,Flash
76,1/9/2019,Flash
77,2/9/2019,Flint
78,3/16/2019,Flash
79,1/30/2019,Flint
80,2/17/2019,Flint
81,1/3/2019,Flint
82,1/11/2019,Flint
83,1/30/2019,Flash
84,1/20/2019,Flint
85,2/11/2019,Flare
86,1/13/2019,Flint
87,1/26/2019,Flash
88,1/28/2019,Flare
89,2/13/2019,Flash
90,3/8/2019,Flare
91,3/6/2019,Flash
92,2/2/2019,Flint
93,2/7/2019,Flint
94,1/3/2019,Flash
95,2/19/2019,Flint
96,3/21/2019,Flint
97,3/29/2019,Flint
98,1/26/2019,Flash
99,1/15/2019,Flint
100,1/8/2019,Flash
101,2/20/2019,Flint
102,1/26/2019,Flash
103,3/22/2019,Flare
104,2/15/2019,Flash
105,3/5/2019,Flash
106,2/14/2019,Flint
107,1/30/2019,Flint
108,3/20/2019,Flint
109,2/19/2019,Flare
110,1/13/2019,Flash
111,1/26/2019,Flare
112,3/28/2019,Flash
113,3/7/2019,Flint
114,3/21/2019,Flint
115,1/7/2019,Flare
116,2/20/2019,Flare
117,2/8/2019,Flash
118,2/28/2019,Flint
119,2/15/2019,Flint
120,3/2/2019,Flash
121,3/10/2019,Flare
122,3/17/2019,Flint
123,3/16/2019,Flint
124,1/28/2019,Flint
125,2/11/2019,Flash
126,1/31/2019,Flash
127,3/22/2019,Flare
128,1/16/2019,Flash
129,2/13/2019,Flash
130,1/28/2019,Flint
131,3/25/2019,Flare
132,1/31/2019,Flash
133,2/12/2019,Flash
134,3/8/2019,Flint
135,3/9/2019,Flash
136,1/11/2019,Flint
137,1/24/2019,Flare
138,3/28/2019,Flash
139,2/26/2019,Flash
140,1/5/2019,Flint
141,2/2/2019,Flash
142,3/25/2019,Flint
143,3/21/2019,Flash
144,1/20/2019,Flare
145,1/25/2019,Flare
146,1/7/2019,Flare
147,1/29/2019,Flash
148,2/24/2019,Flint
149,2/23/2019,Flint
150,2/14/2019,Flint
151,2/7/2019,Flare
152,3/7/2019,Flare
153,3/16/2019,Flint
154,2/15/2019,Flash
155,2/22/2019,Flash
156,1/17/2019,Flash
157,1/12/2019,Flare
158,3/24/2019,Flare
159,1/24/2019,Flash
160,1/2/2019,Flint
161,1/1/2019,Flare
162,3/14/2019,Flash
163,1/21/2019,Flash
164,3/9/2019,Flash
165,3/15/2019,Flint
166,1/25/2019,Flint
167,3/6/2019,Flare
168,1/31/2019,Flint
169,1/7/2019,Flare
170,3/13/2019,Flint
171,1/19/2019,Flint
172,3/2/2019,Flare
173,1/30/2019,Flash
174,1/4/2019,Flare
175,3/7/2019,Flash
176,1/4/2019,Flint
177,1/4/2019,Flint
178,2/19/2019,Flash
179,1/15/2019,Flare
180,3/29/2019,Flash
181,3/7/2019,Flint
182,2/28/2019,Flare
183,3/19/2019,Flint
184,2/10/2019,Flare
185,3/7/2019,Flint
186,2/19/2019,Flash
187,3/27/2019,Flash
188,3/22/2019,Flash
189,3/2/2019,Flash
190,2/28/2019,Flare
191,3/16/2019,Flint
192,3/19/2019,Flare
193,2/21/2019,Flint
194,1/25/2019,Flash
195,1/27/2019,Flash
196,2/3/2019,Flash
197,1/9/2019,Flash
198,3/22/2019,Flash
199,1/5/2019,Flare
200,1/14/2019,Flare
201,2/22/2019,Flint
202,2/1/2019,Flint
203,3/7/2019,Flash
204,2/2/2019,Flash
205,1/18/2019,Flint
206,3/10/2019,Flint
207,3/30/2019,Flare
208,2/27/2019,Flare
209,2/17/2019,Flash
210,2/18/2019,Flare
211,1/28/2019,Flare
212,3/8/2019,Flint
213,3/22/2019,Flint
214,2/6/2019,Flash
215,1/29/2019,Flash
216,1/6/2019,Flash
217,1/11/2019,Flash
218,1/22/2019,Flint
219,2/5/2019,Flint
220,2/12/2019,Flash
221,3/4/2019,Flint
222,3/5/2019,Flint
223,1/9/2019,Flint
224,1/25/2019,Flash
225,3/5/2019,Flint
226,2/12/2019,Flint
227,2/3/2019,Flare
228,3/27/2019,Flash
229,3/17/2019,Flint
230,1/27/2019,Flare
231,1/31/2019,Flint
232,3/30/2019,Flint
233,3/21/2019,Flare
234,1/22/2019,Flare
235,2/26/2019,Flare
236,1/16/2019,Flint
237,1/21/2019,Flash
238,1/9/2019,Flint
239,1/14/2019,Flash
240,2/9/2019,Flint
241,3/22/2019,Flint
242,3/20/2019,Flare
243,2/23/2019,Flare
244,1/15/2019,Flash
245,2/10/2019,Flash
246,1/21/2019,Flint
247,1/24/2019,Flare
248,2/3/2019,Flare
249,3/16/2019,Flare
250,2/19/2019,Flint
251,1/19/2019,Flare
252,2/25/2019,Flint
253,2/18/2019,Flash
254,2/1/2019,Flash
255,1/30/2019,Flint
256,3/5/2019,Flint
257,1/20/2019,Flint
258,2/13/2019,Flare
259,1/10/2019,Flint
260,3/24/2019,Flint
261,2/21/2019,Flint
262,2/20/2019,Flare
263,1/9/2019,Flint
264,1/5/2019,Flash
265,2/18/2019,Flint
266,3/24/2019,Flint
267,2/12/2019,Flare
268,3/23/2019,Flint
269,1/7/2019,Flint
270,2/15/2019,Flash
271,2/24/2019,Flash
272,2/2/2019,Flint
273,1/10/2019,Flash
274,3/23/2019,Flare
275,2/26/2019,Flash
276,3/3/2019,Flint
277,1/2/2019,Flash
278,1/25/2019,Flash
279,1/24/2019,Flint
280,1/15/2019,Flash
281,3/13/2019,Flint
282,3/1/2019,Flash
283,2/3/2019,Flint
284,1/15/2019,Flint
285,1/13/2019,Flint
286,2/23/2019,Flint
287,1/16/2019,Flare
288,1/28/2019,Flint
289,3/12/2019,Flint
290,1/13/2019,Flare
291,2/25/2019,Flash
292,3/8/2019,Flint
293,1/13/2019,Flare
294,2/28/2019,Flare
295,1/30/2019,Flint
296,2/15/2019,Flare
297,2/20/2019,Flint
298,2/5/2019,Flint
299,3/23/2019,Flint
300,1/28/2019,Flint
301,3/26/2019,Flash
302,3/2/2019,Flash
303,2/21/2019,Flint
304,1/28/2019,Flint
305,1/26/2019,Flash
306,2/3/2019,Flint
307,3/22/2019,Flash
308,2/7/2019,Flash
309,1/20/2019,Flint
310,1/30/2019,Flare
311,2/9/2019,Flash
312,2/23/2019,Flare
313,2/8/2019,Flint
314,1/3/2019,Flash
315,3/23/2019,Flare
316,2/23/2019,Flare
317,2/3/2019,Flare
318,3/9/2019,Flare
319,3/13/2019,Flash
320,3/26/2019,Flint
321,2/1/2019,Flint
322,1/7/2019,Flint
323,2/24/2019,Flare
324,3/14/2019,Flash
325,2/15/2019,Flash
326,2/21/2019,Flash
327,2/7/2019,Flare
328,1/16/2019,Flare
329,2/6/2019,Flint
330,3/21/2019,Flint
331,3/24/2019,Flint
332,2/3/2019,Flare
333,2/21/2019,Flare
334,3/26/2019,Flint
335,3/10/2019,Flash
336,1/29/2019,Flint
337,2/4/2019,Flare
338,2/27/2019,Flare
339,3/21/2019,Flint
340,2/17/2019,Flare
341,1/14/2019,Flint
342,3/25/2019,Flare
343,3/1/2019,Flint
344,1/7/2019,Flash
345,2/6/2019,Flash
346,3/17/2019,Flare
347,3/21/2019,Flint
348,3/16/2019,Flare
349,1/3/2019,Flint
350,1/18/2019,Flash
351,3/11/2019,Flash
352,2/12/2019,Flash
353,1/8/2019,Flint
354,2/19/2019,Flash
355,1/22/2019,Flint
356,2/13/2019,Flint
357,1/9/2019,Flint
358,1/19/2019,Flash
359,2/18/2019,Flash
360,2/25/2019,Flash
361,2/19/2019,Flare
362,2/11/2019,Flash
363,2/28/2019,Flint
364,3/7/2019,Flash
365,2/14/2019,Flare
366,2/27/2019,Flint
367,1/22/2019,Flare
368,1/22/2019,Flash
369,1/4/2019,Flare
370,2/3/2019,Flint
371,1/15/2019,Flare
372,2/24/2019,Flare
373,3/29/2019,Flash
374,3/23/2019,Flash
375,3/13/2019,Flare
376,1/16/2019,Flash
377,3/9/2019,Flint
378,1/1/2019,Flare
379,1/5/2019,Flint
380,2/3/2019,Flash
381,3/14/2019,Flash
382,2/7/2019,Flint
383,2/17/2019,Flare
384,1/24/2019,Flash
385,1/8/2019,Flint
386,2/22/2019,Flash
387,3/21/2019,Flash
388,3/14/2019,Flint
389,1/22/2019,Flare
390,1/14/2019,Flare
391,2/9/2019,Flint
392,2/13/2019,Flash
393,3/22/2019,Flint
394,3/22/2019,Flint
395,1/7/2019,Flint
396,2/28/2019,Flash
397,2/16/2019,Flare
398,3/18/2019,Flare
399,2/5/2019,Flash
400,1/17/2019,Flint
401,1/24/2019,Flare
402,1/14/2019,Flint
403,1/16/2019,Flare
404,3/27/2019,Flash
405,3/23/2019,Flash
406,3/27/2019,Flare
407,3/8/2019,Flash
408,3/30/2019,Flash
409,2/23/2019,Flare
410,1/10/2019,Flint
411,2/7/2019,Flint
412,2/27/2019,Flare
413,3/17/2019,Flare
414,1/7/2019,Flint
415,2/12/2019,Flash
416,1/19/2019,Flint
417,2/4/2019,Flash
418,1/11/2019,Flare
419,2/26/2019,Flash
420,1/30/2019,Flint
421,3/19/2019,Flare
422,1/17/2019,Flare
423,2/8/2019,Flare
424,3/9/2019,Flash
425,2/10/2019,Flash
426,3/6/2019,Flash
427,1/11/2019,Flint
428,3/10/2019,Flash
429,2/27/2019,Flare
430,3/5/2019,Flare
431,3/2/2019,Flare
432,1/20/2019,Flare
433,3/29/2019,Flash
434,1/27/2019,Flare
435,3/21/2019,Flare
436,1/23/2019,Flare
437,1/25/2019,Flare
438,2/9/2019,Flare
439,1/30/2019,Flint
440,1/9/2019,Flash
441,2/22/2019,Flint
442,3/11/2019,Flash
443,1/10/2019,Flash
444,3/9/2019,Flint
445,1/11/2019,Flare
446,1/8/2019,Flint
447,1/20/2019,Flint
448,1/20/2019,Flint
449,1/2/2019,Flare
450,2/1/2019,Flare
451,2/9/2019,Flash
452,2/12/2019,Flash
453,3/13/2019,Flash
454,1/29/2019,Flare
455,1/31/2019,Flare
456,1/26/2019,Flare
457,3/6/2019,Flare
458,3/10/2019,Flint
459,1/14/2019,Flint
460,3/21/2019,Flash
461,1/22/2019,Flare
462,1/15/2019,Flash
463,3/30/2019,Flash
464,3/8/2019,Flare
465,3/15/2019,Flare
466,3/8/2019,Flint
467,2/21/2019,Flash
468,2/5/2019,Flint
469,1/7/2019,Flint
470,1/6/2019,Flint
471,1/6/2019,Flare
472,1/23/2019,Flare
473,2/9/2019,Flash
474,1/11/2019,Flare
475,2/5/2019,Flint
476,3/12/2019,Flare
477,1/27/2019,Flash
478,2/2/2019,Flare
479,2/22/2019,Flint
480,1/28/2019,Flint
481,3/26/2019,Flint
482,3/28/2019,Flash
483,3/29/2019,Flash
484,3/12/2019,Flare
485,3/17/2019,Flint
486,1/23/2019,Flint
487,3/12/2019,Flare
488,1/8/2019,Flare
489,3/9/2019,Flash
490,1/22/2019,Flash
491,2/4/2019,Flare
492,3/26/2019,Flash
493,1/15/2019,Flare
494,1/12/2019,Flare
495,3/16/2019,Flint
496,1/21/2019,Flash
497,3/29/2019,Flint
498,2/27/2019,Flash
499,3/7/2019,Flash
500,3/7/2019,Flint
501,3/1/2019,Flint
502,2/26/2019,Flare
503,1/6/2019,Flash
504,2/1/2019,Flint
505,2/2/2019,Flash
506,2/5/2019,Flint
507,2/8/2019,Flint
508,2/14/2019,Flare
509,3/11/2019,Flint
510,2/5/2019,Flash
511,2/4/2019,Flash
512,1/12/2019,Flare
513,1/9/2019,Flare
514,1/18/2019,Flare
515,2/6/2019,Flint
516,3/22/2019,Flare
517,3/9/2019,Flint
518,3/8/2019,Flare
519,3/14/2019,Flint
520,2/15/2019,Flare
521,2/21/2019,Flare
522,1/2/2019,Flint
523,1/18/2019,Flare
524,1/11/2019,Flash
525,1/26/2019,Flash
526,1/2/2019,Flare
527,2/8/2019,Flare
528,1/27/2019,Flare
529,2/10/2019,Flint
530,1/18/2019,Flare
531,1/19/2019,Flint
532,1/8/2019,Flint
533,2/22/2019,Flare
534,2/20/2019,Flash
535,2/28/2019,Flint
536,1/5/2019,Flare
537,1/31/2019,Flare
538,1/15/2019,Flare
539,3/27/2019,Flint
540,2/13/2019,Flare
541,3/18/2019,Flare
542,2/19/2019,Flare
543,2/24/2019,Flare
544,3/29/2019,Flint
545,1/24/2019,Flare
546,1/26/2019,Flint
547,2/17/2019,Flint
548,1/22/2019,Flint
549,3/11/2019,Flare
550,2/19/2019,Flare
551,2/2/2019,Flare
552,1/2/2019,Flash
553,2/10/2019,Flint
554,1/17/2019,Flash
555,1/9/2019,Flare
556,1/3/2019,Flash
557,2/23/2019,Flint
558,1/31/2019,Flash
559,2/10/2019,Flare
560,2/14/2019,Flash
561,3/28/2019,Flint
562,3/9/2019,Flash
563,3/10/2019,Flare
564,3/13/2019,Flint
565,1/14/2019,Flare
566,2/28/2019,Flint
567,2/26/2019,Flare
568,2/4/2019,Flash
569,3/9/2019,Flash
570,1/23/2019,Flint
